[2025-04-08 16:58:02,566][__main__][INFO] - project_name: euler-rag
mode:
  _name_: parse_and_store
  pdf_path: ./data/pdf_data/test/
  md_path: ./data/md_data/
  chunk_size: 5000
  language: nl
  is_directory: true
  semaphore: 5

[2025-04-08 16:58:06,067][app.ingestion.pdf2md][INFO] - Found 1 PDF files in directory.
[2025-04-08 16:58:06,068][app.ingestion.pdf2md][INFO] - 🔍 Parsing ./data/pdf_data/test/bewerkingen.pdf → ./data/md_data/bewerkingen.md
[2025-04-08 16:58:07,723][httpx][INFO] - HTTP Request: POST https://api.cloud.eu.llamaindex.ai/api/parsing/upload "HTTP/1.1 200 OK"
[2025-04-08 16:58:08,926][httpx][INFO] - HTTP Request: GET https://api.cloud.eu.llamaindex.ai/api/parsing/job/864f5360-1bae-41c5-8b19-c15999bd02e2 "HTTP/1.1 200 OK"
[2025-04-08 16:58:11,121][httpx][INFO] - HTTP Request: GET https://api.cloud.eu.llamaindex.ai/api/parsing/job/864f5360-1bae-41c5-8b19-c15999bd02e2 "HTTP/1.1 200 OK"
[2025-04-08 16:58:13,313][httpx][INFO] - HTTP Request: GET https://api.cloud.eu.llamaindex.ai/api/parsing/job/864f5360-1bae-41c5-8b19-c15999bd02e2 "HTTP/1.1 200 OK"
[2025-04-08 16:58:15,503][httpx][INFO] - HTTP Request: GET https://api.cloud.eu.llamaindex.ai/api/parsing/job/864f5360-1bae-41c5-8b19-c15999bd02e2 "HTTP/1.1 200 OK"
[2025-04-08 16:58:17,886][httpx][INFO] - HTTP Request: GET https://api.cloud.eu.llamaindex.ai/api/parsing/job/864f5360-1bae-41c5-8b19-c15999bd02e2 "HTTP/1.1 200 OK"
[2025-04-08 16:58:20,072][httpx][INFO] - HTTP Request: GET https://api.cloud.eu.llamaindex.ai/api/parsing/job/864f5360-1bae-41c5-8b19-c15999bd02e2 "HTTP/1.1 200 OK"
[2025-04-08 16:58:22,296][httpx][INFO] - HTTP Request: GET https://api.cloud.eu.llamaindex.ai/api/parsing/job/864f5360-1bae-41c5-8b19-c15999bd02e2 "HTTP/1.1 200 OK"
[2025-04-08 16:58:24,490][httpx][INFO] - HTTP Request: GET https://api.cloud.eu.llamaindex.ai/api/parsing/job/864f5360-1bae-41c5-8b19-c15999bd02e2 "HTTP/1.1 200 OK"
[2025-04-08 16:58:26,679][httpx][INFO] - HTTP Request: GET https://api.cloud.eu.llamaindex.ai/api/parsing/job/864f5360-1bae-41c5-8b19-c15999bd02e2 "HTTP/1.1 200 OK"
[2025-04-08 16:58:26,986][httpx][INFO] - HTTP Request: GET https://api.cloud.eu.llamaindex.ai/api/parsing/job/864f5360-1bae-41c5-8b19-c15999bd02e2/result/markdown "HTTP/1.1 200 OK"
